fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	early_stopping_rounds	force_row_wise	max_bin	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	gleaf_size	gnum_leaves	acumulaciones	pos_ratio_actual	gan_validate	gan_test	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211130 000017	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	355.8	239	TRUE	31	0.100748844812624	0.586871782263042	3433	35	41.1876972625032	0.551754983359366	10	0.041054287698861	6697875	5877875	0.0419104047935862	6690000	5790000	1
20211130 000851	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	252.4	254	TRUE	31	0.0731523119597696	0.442965084644966	352	479	64.0979449255392	0.785307233377127	10	0.0360297255906204	6858375	5833375	0.0390315750713431	6970000	5920000	2
20211130 001438	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	410.4	262	TRUE	31	0.0637595846173354	0.822855524204206	657	91	57.8522281544283	0.278749211835093	10	0.0364766136928523	6831625	5941625	0.0347300678700844	6812500	6012500	3
20211130 001903	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	223.9	236	TRUE	32	0.10919195663929	0.630455132437637	1006	94	53.5809746431187	0.438475017423392	10	0.036986266977982	6630500	5840500	0.032043718042061	6763750	6113750	4
20211130 003350	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	295.7	223	TRUE	31	0.171858094663126	0.256102606088389	11	11677	98.8923754887655	0.598803728774306	10	0.0375386005874821	6308000	5263000	0.0360523210564636	6615000	5615000	5
20211130 004526	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	177.3	230	TRUE	32	0.132032610804774	0.775729331166949	53	1040	83.0561747867614	0.256982645514072	10	0.0372741499502063	6322500	5547500	0.029968282660909	6473750	5673750	6
20211130 005004	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	192.2	234	TRUE	32	0.117281335159903	0.347320319341961	1498	116	49.5754234660417	0.805106986850267	10	0.0382064221335141	6693250	5743250	0.0303281363761894	6820000	5870000	7
20211130 010605	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	205.8	225	TRUE	32	0.159452230616007	0.491142090448411	21	8816	92.5425254842266	0.863011464760639	10	0.0378582845857079	6270250	5450250	0.0384122919334187	6362500	5612500	8
20211130 011352	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1874.2	247	TRUE	32	0.0849053417260293	0.935274102700641	10400	2	29.7679854556918	0.0596465623294935	10	0.0363594520181098	5459125	4889125	0.0343451080816449	5420000	4770000	9
20211130 011706	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	200.2	220	TRUE	31	0.191871121270349	0.712642432722496	1777	45	47.8487621787935	0.369943892157287	10	0.037030621040563	6653875	5803875	0.0417011875172604	6821250	6021250	10
