fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	early_stopping_rounds	force_row_wise	max_bin	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	gleaf_size	gnum_leaves	acumulaciones	pos_ratio_actual	gan_validate	gan_test	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211130 012418	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	826.7	329	TRUE	32	0.0308131555579603	0.168072460056283	4275	8	38.9531404832378	0.166216124493396	10	0.0334697429974978	6095750	5725750	0.032796900236834	6151250	5801250	11
20211130 013324	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	280.7	293	TRUE	31	0.0430030157433357	0.132025890315417	167	893	71.5795095227659	0.694928579273168	10	0.0370239260877206	6749875	5694875	0.0275915744018478	6728750	5778750	12
20211130 014525	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	700.8	353	TRUE	31	0.0260967938706744	0.66969476528815	135	213	73.7309217117727	0.134229563086061	10	0.0379997154645042	7139125	6059125	0.0351652398048421	7047500	6047500	13
20211130 021219	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	118.3	248	TRUE	32	0.0829500707169064	0.744960959302261	35	5930	87.3210742799565	0.967471746494411	10	0.036456528834325	6394625	5409625	0.0302444494656591	6332500	5532500	14
20211130 022117	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	111.6	222	TRUE	32	0.176677698378684	0.994940195104573	102	1027	76.5355077143759	0.48823431065504	10	0.0379888361661353	6425750	5410750	0.0333576025373871	6517500	5867500	15
20211130 023322	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1512.6	226	TRUE	31	0.150549991466338	0.377250761598116	12914	2	27.4791415100917	0.0331826040453743	10	0.0364833086456947	5595625	4920625	0.0370649326738805	5513750	4763750	16
20211130 024213	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	791.9	227	TRUE	32	0.14381645635725	0.517229261435568	17938	7	23.9407510571182	0.612066735040746	10	0.0378097461776004	6392500	5802500	0.0351987145690543	6242500	5842500	17
20211130 024719	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	119.8	221	TRUE	31	0.189629695420852	0.311785514620133	436	445	61.9717918317765	0.903734128321055	10	0.0383127045098876	6617375	5547375	0.0348472295448269	6895000	5845000	18
20211130 025800	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	237.7	231	TRUE	32	0.127021803386742	0.21492372108507	31	2368	88.3219049889594	0.342202430946287	10	0.0392483241696166	6267625	5272625	0.0391571054371386	6451250	5851250	19
20211130 030538	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	923.7	273	TRUE	31	0.0543801362463273	0.867619167222874	6994	23	33.9013037513942	0.735967202944215	10	0.0347442946448746	6640375	5730375	0.0340605725858419	6512500	5862500	20
20211130 031718	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1131.8	381	TRUE	32	0.0220111619745603	0.188253525300565	1245	64	51.4300992442753	0.369443846525522	10	0.0394299247654674	6875500	6050500	0.0412827529646088	6783750	6083750	21
20211130 032815	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	943.5	397	TRUE	31	0.0202139352046468	0.107559389996629	238	172	68.009839715485	0.191130925298759	10	0.0385579071577415	7040750	6010750	0.0417430309725256	7065000	6165000	22
20211130 033727	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	440.8	299	TRUE	31	0.0400501619617854	0.344335617947075	352	241	64.1129739988886	0.395451905595669	10	0.0382683504473065	6944000	6014000	0.0329056932205234	6985000	6185000	23
20211130 034137	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	245.8	233	TRUE	31	0.118573814693263	0.100316094869533	466	176	61.3039574245073	0.382575802534374	10	0.0391763534265605	6778375	5673375	0.0380440695270853	6917500	5967500	24
20211130 035750	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	506.1	399	TRUE	31	0.0200743475045536	0.732204755158809	176	457	71.0699177017171	0.374892760009892	10	0.0378599583239186	6875000	5935000	0.0376088975923276	6882500	6032500	25
20211130 045058	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1024.7	395	TRUE	31	0.0204299390905361	0.362135109845205	10	4033	99.9609217112369	0.187997195392671	10	0.0385219217862134	6451125	5536125	0.0385796657544793	6337500	5537500	26
20211130 050502	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	676.7	399	TRUE	32	0.0200172831248928	0.486682558787434	326	208	64.8646455219283	0.315057695521247	10	0.0402718150854025	6894750	6224750	0.0433665570368139	6772500	6372500	27
20211130 051707	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	927.3	399	TRUE	32	0.0200047903154214	0.760701966378889	324	116	64.9353946118057	0.175520341845522	10	0.0403647075560912	6855875	6285875	0.0345543253579708	6788750	6388750	28
20211130 053059	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	811.8	364	TRUE	32	0.0243063170382331	0.994456603531197	332	194	64.6825822299509	0.299485964356573	10	0.0366456612521236	6781375	6126375	0.042370682801503	6671250	6221250	29
20211130 054554	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1065.9	399	TRUE	32	0.0200493864487729	0.459336609643233	321	94	65.0162493769009	0.140790200842595	10	0.0401429372431858	7009000	6229000	0.0418267178830559	6852500	6302500	30
20211130 055416	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	462.8	288	TRUE	32	0.0449535947566116	0.621306728178735	296	163	65.860384283507	0.225492532051937	10	0.0389420300770756	6958375	6163375	0.0386717213560627	6923750	6223750	31
20211130 060653	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	928	399	TRUE	32	0.0200489073967835	0.355239459241749	484	90	60.919667841167	0.201981742740659	10	0.0394583783150477	6876250	6216250	0.0413497024930331	6923750	6273750	32
20211130 062240	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	747.6	399	TRUE	32	0.0200337804547206	0.430963500475117	327	269	64.8584801441699	0.410397233969527	10	0.0382633292326747	6914750	6169750	0.0327048446352506	6815000	6115000	33
20211130 063045	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	429.6	301	TRUE	32	0.0394405050907637	0.249893278453934	320	214	65.0715806746238	0.318282755265313	10	0.0390968508615567	6935250	6155250	0.0427556425899425	6963750	6213750	34
20211130 063449	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	103	220	TRUE	32	0.19985518591447	0.540343984470171	942	113	54.2326687410788	0.495441953592983	10	0.0383152151172035	6582000	5842000	0.0349560225285163	6978750	6178750	35
20211130 063806	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	56	221	TRUE	32	0.184741036581064	0.999366365717513	1062	130	53.0279078283976	0.642516736615343	10	0.0410233235419648	6272500	5772500	0.0410233235419648	6272500	5772500	36
20211130 064327	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	180.7	220	TRUE	32	0.199965736769464	0.553637492156723	488	162	60.8284762600903	0.367591853539252	10	0.0385135530951604	6547375	5622375	0.0301942373193409	6940000	6040000	37
20211130 065713	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	928.2	399	TRUE	32	0.0200379916042659	0.642713551521122	377	154	63.4281330865726	0.27007182982982	10	0.0389989371762363	6909875	6249875	0.0413664398751391	6871250	6321250	38
20211130 071416	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1025.3	398	TRUE	31	0.0201747122129611	0.45046648022135	390	173	63.0813989497034	0.314678789314876	10	0.0365962859749107	7148750	6128750	0.0339183048379403	7133750	6033750	39
20211130 072553	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	940.9	398	TRUE	32	0.0201305223813806	0.630626561051597	790	85	55.9987170980312	0.312073053704101	10	0.0383160519863088	6786875	6321875	0.0419020361025332	6691250	6441250	40
20211130 073919	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1384.3	399	TRUE	32	0.0200095259860927	0.615766469154669	1540	43	49.2953683436373	0.303705329508767	10	0.0380767074221921	6732625	6112625	0.0379352765433958	6583750	6033750	41
20211130 075324	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1024.8	396	TRUE	32	0.0203951253985066	0.62587983414682	632	111	58.23813514409	0.327289434596598	10	0.0345225243319692	6883500	6238500	0.0321859857899626	6742500	6242500	42
20211130 080941	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1243.3	394	TRUE	32	0.0205322206995491	0.579505517582989	835	65	55.4420886177151	0.254435150272492	10	0.0380967922807194	6804625	6149625	0.0377930087954943	6805000	6205000	43
20211130 081354	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	207.6	230	TRUE	32	0.132363914610705	0.607521329008704	874	77	54.9910428683157	0.311135818043167	10	0.0364900035985372	6764625	5999625	0.0332906530089629	6977500	6177500	44
20211130 083017	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1131.4	399	TRUE	32	0.0200307463268114	0.586523922749386	386	97	63.1940027126006	0.174295698925078	10	0.0392767777191969	6993375	6358375	0.0348555982358799	6993750	6393750	45
20211130 084524	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1218.4	396	TRUE	31	0.0203249765371677	0.61592457241362	340	104	64.4521193522986	0.165397219653143	10	0.0363276509921083	7078875	6193875	0.0389897316160779	6976250	6276250	46
20211130 085626	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	740.1	308	TRUE	32	0.0370115156376456	0.371783029312537	781	102	56.1230936297495	0.372604303677677	10	0.0361519084799946	6875125	6085125	0.0318177633836292	6847500	6147500	47
20211130 090210	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	127.4	220	TRUE	31	0.1957384355062	0.592509803645352	355	284	64.0239011012053	0.46959164730753	10	0.0357786648590294	6580875	5570875	0.040554676842995	7142500	6042500	48
20211130 090714	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	199	227	TRUE	32	0.147005560938876	0.54047967040986	330	112	64.7420412422134	0.171868573418433	10	0.0376181031524859	6641125	5816125	0.0411990660540785	6946250	6096250	49
20211130 092156	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1034.2	399	TRUE	32	0.0200084972856852	0.430235751347152	808	81	55.7714700067451	0.304527194219022	10	0.0386976642983271	6814875	6244875	0.0397094390466387	6768750	6318750	50
20211130 093311	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	943.1	388	TRUE	32	0.0211871738432555	0.846470079835692	854	79	55.2208725202177	0.314860809745642	10	0.0360129882085143	6725875	6260875	0.0362950130970015	6678750	6428750	51
20211130 094558	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1095	396	TRUE	32	0.0203330338996278	0.729723808534649	804	83	55.8306711436494	0.310383351266493	10	0.034632154184764	6817125	6132125	0.0305959344898864	6730000	6130000	52
20211130 095819	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1125.3	392	TRUE	32	0.020803494497232	0.850721926606072	356	88	63.9905437250761	0.146718182238153	10	0.0394818106499962	6892750	6337750	0.0341358908053191	6751250	6551250	53
20211130 101536	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	804.4	398	TRUE	32	0.0201875660133106	0.873401399319061	422	242	62.3010667146568	0.475674346137704	10	0.0331416903082189	6774750	6184750	0.032545839505243	6638750	6288750	54
20211130 102329	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1191.1	340	TRUE	32	0.0284222842149987	0.847278823336688	302	16	65.6471224278992	0.0227699515892684	10	0.0376892370264367	6550500	6040500	0.0337676683989857	6456250	6006250	55
20211130 103548	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1071.6	364	TRUE	32	0.0243380875369456	0.867885299274239	403	98	62.743705444457	0.184124770173477	10	0.0339316947436251	6886750	6281750	0.0332739156268568	6880000	6380000	56
20211130 104723	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	189.4	222	TRUE	32	0.181643245010353	0.864288141719904	30	2024	88.7608574319631	0.283066091934682	10	0.0405898253454177	6257250	5277250	0.0361862201133121	6645000	5445000	57
20211130 105700	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	702.6	295	TRUE	32	0.0417692573105583	0.94397889454686	883	88	54.8914043316539	0.36164529504317	10	0.0340162185232608	6774125	6184125	0.0325793142694551	6833750	6183750	58
20211130 110506	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	707.1	283	TRUE	31	0.0478139236395267	0.850844278246702	336	91	64.5841413987207	0.14183691155915	10	0.0361427029198363	7011500	6116500	0.035918421999615	7035000	6285000	59
20211130 111151	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	568.6	270	TRUE	32	0.0569601482521748	0.810187858398246	368	75	63.6502302709594	0.127803439625745	10	0.0375419480639033	6837500	6127500	0.0389395194697597	6833750	6233750	60
20211130 112221	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	703.8	367	TRUE	32	0.0239330049326685	0.867199749170514	300	110	65.6976903572225	0.153308924633823	10	0.0386616789267991	6785250	6295250	0.0381026503644565	6708750	6308750	61
20211130 113812	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	806.3	384	TRUE	32	0.0216328174992067	0.849656410556521	349	183	64.2033105440252	0.297166595108148	10	0.0367000577439683	6818250	6143250	0.0464294979622237	6715000	6315000	62
20211130 114219	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	225.1	226	TRUE	32	0.14988847857031	0.147489280380239	922	128	54.4531882425211	0.54765997627846	10	0.0380842392441398	6591500	5751500	0.0425045818583515	6851250	5901250	63
20211130 114911	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	119.9	222	TRUE	32	0.178401644282052	0.242136695040739	61	1107	81.6264962926321	0.314829225729133	10	0.0395111010686818	6203375	5353375	0.0423204706551848	6428750	5478750	64
20211130 115959	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	205.3	240	TRUE	31	0.0992158601384005	0.477908698493615	66	996	80.8542736187391	0.306415965386285	10	0.0382901090440444	6575750	5610750	0.0355585682843346	6688750	5938750	65
20211130 120501	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	242.1	229	TRUE	31	0.133853217476513	0.58423637554429	1892	59	47.2211948643625	0.521231864791897	10	0.0384390717447884	6763500	5818500	0.0319181876762656	6832500	6082500	66
20211130 121802	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	122.3	236	TRUE	32	0.108462933113584	0.743322523699095	133	1264	73.8355432983115	0.783520865743882	10	0.0405387763299942	6579875	5764875	0.0347802800164026	6605000	5855000	67
20211130 123559	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	175.7	245	TRUE	31	0.0872698883131146	0.688838414393016	34	2011	87.5273204032518	0.318745286710919	10	0.0385964031365854	6520000	5550000	0.0379269078523428	6585000	5435000	68
20211130 124836	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	269.3	285	TRUE	32	0.0468959715641383	0.929916929370002	197	485	69.9104777829535	0.445280587790939	10	0.0351033114910497	6791750	5946750	0.039533696534525	6745000	6145000	69
20211130 125628	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	190.1	238	TRUE	32	0.103651188136539	0.975825218050065	614	240	58.534899350889	0.685752426013057	10	0.0328613391579423	6686625	5896625	0.0321022988794323	6855000	6255000	70
20211130 131250	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	291.6	220	TRUE	31	0.197648347213133	0.316259795214399	14	14119	96.1716127631255	0.921421309379705	10	0.0356840986501301	6050000	5235000	0.0372406751859942	6437500	5687500	71
20211130 132537	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	99.8	224	TRUE	32	0.162982798492569	0.9074159817904	139	1273	73.4113206720725	0.824576977138589	10	0.0374657929753207	6433875	5513875	0.032035349351008	6565000	5615000	72
20211130 135450	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	304.9	290	TRUE	32	0.0442678464313597	0.458208657621266	17	3908	94.2309399378486	0.309722320451126	10	0.0368473467065016	6446250	5426250	0.0394332722418886	6310000	5510000	73
20211130 140024	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	283.9	224	TRUE	31	0.162568484117799	0.566986053514853	2787	59	43.3044112536311	0.769127883705904	10	0.0382424075050421	6702875	5592875	0.0343953202279631	6862500	5962500	74
20211130 140940	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	169.4	283	TRUE	31	0.0480592190430965	0.518931407725904	25	686	90.661475951504	0.0799190079067601	10	0.0392474873005113	6607750	5742750	0.0357761542517135	6656250	5656250	75
20211130 141527	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	527.3	227	TRUE	31	0.147977832922428	0.295717039099522	5614	13	36.165175520014	0.328758556517626	10	0.0412367251638171	6480625	5805625	0.0407387880461617	6365000	5865000	76
20211130 142142	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	870.4	234	TRUE	31	0.115632442969042	0.64537403177307	15129	11	25.7857292968407	0.765898350600847	10	0.0406818809470011	6518500	5783500	0.0452829872879583	6586250	5686250	77
20211130 143719	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	229.6	297	TRUE	32	0.0411189350768831	0.30460736852074	45	1630	84.6052932359837	0.341975723259789	10	0.0379813043441875	6531875	5491875	0.0387051961202748	6418750	5668750	78
20211130 144113	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	379.1	220	TRUE	31	0.199025887212618	0.749346066682553	11969	18	28.2863679989427	0.996180751937449	10	0.0391897433322454	6556375	5761375	0.0445549111663445	6495000	5845000	79
20211130 145603	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	138.8	233	TRUE	31	0.12055425939295	0.601972808603593	72	2217	79.9669918741658	0.74390441946113	10	0.0400835195367093	6542875	5537875	0.0358347350890847	6697500	5497500	80
20211130 150048	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	164.6	224	TRUE	31	0.160047178593883	0.616630617929506	81	214	78.7820840103179	0.0807201475911681	10	0.0397270132978501	6586125	5566125	0.0405295707698359	7046250	6346250	81
20211130 152046	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	230.5	245	TRUE	32	0.0887765151586104	0.473035343105928	30	4432	88.8978014907986	0.619707950513023	10	0.0367419011992334	6492000	5607000	0.0367971345601834	6453750	5753750	82
20211130 152956	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	257.6	220	TRUE	32	0.194695122817676	0.756164201366715	12	982	98.2829878979549	0.0549355665275943	10	0.0389169240039165	6082125	5257125	0.0319265563673186	6381250	5281250	83
20211130 153919	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	850	288	TRUE	31	0.045319412053721	0.473564229945024	16092	8	25.1202545288578	0.57172701434711	10	0.0371494564535161	6101125	5796125	0.0456679470763978	5978750	5728750	84
20211130 154516	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1049.1	247	TRUE	31	0.0848318603055459	0.670101895703236	6064	5	35.3723606526665	0.138155939861571	10	0.0454294393813864	6264375	5699375	0.0430987589231168	6162500	5912500	85
20211130 155053	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	639.1	253	TRUE	31	0.0745898955476517	0.76102146996276	4678	23	38.0346314349026	0.503614240827321	10	0.040008201317232	6679125	5919125	0.0370398266007214	6517500	5967500	86
20211130 155856	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	750.6	315	TRUE	32	0.0347566316118883	0.681133933392842	798	62	55.9069513608515	0.232218553911119	10	0.035788707288293	6824375	6179375	0.0339768856753115	6825000	6125000	87
20211130 161502	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	198.1	252	TRUE	31	0.0758940288690897	0.494440933520161	55	2123	82.6188244349882	0.544134297175757	10	0.037698442586595	6644125	5614125	0.033056329659478	6612500	5662500	88
20211130 162255	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	226.1	246	TRUE	32	0.0853932663887274	0.287755241001747	281	615	66.3576818935759	0.804916380331949	10	0.0365644849489091	6728500	5863500	0.0411990660540785	6946250	5896250	89
20211130 162813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	383.4	252	TRUE	31	0.0764268788818875	0.175040493444167	1559	90	49.1679094540887	0.650033103096921	10	0.0359368331199317	6907250	5882250	0.0332153347894856	7038750	6038750	90
20211130 163223	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	198.2	225	TRUE	31	0.156865655232128	0.341520366349095	3212	62	41.8622322552837	0.920617357842002	10	0.0370699538885123	6568000	5713000	0.0442369009063292	6542500	5942500	91
20211130 164530	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	98	238	TRUE	32	0.104859474145765	0.892675814222265	114	1607	75.4023135180958	0.854002445942566	10	0.0346463809595541	6485000	5595000	0.0444963303289732	6403750	5803750	92
20211130 165147	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	336.8	242	TRUE	31	0.0945894875578256	0.528668678875687	2447	58	44.6188718933053	0.659178459183166	10	0.0360372574125681	6727250	5927250	0.0290560953361285	6660000	5810000	93
20211130 170348	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	126.2	247	TRUE	31	0.0847714370550308	0.909329277638905	141	1111	73.2675166395493	0.729769322379334	10	0.0384440929594202	6662750	5632750	0.0349058103821981	6786250	5486250	94
20211130 171424	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	288.5	254	TRUE	32	0.0728126305674156	0.289250391957047	40	848	85.7951354060881	0.15813759196155	10	0.037383779803001	6666125	5496125	0.0372155691128351	6691250	5791250	95
20211130 171945	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	680.2	226	TRUE	31	0.152261461558444	0.132155039069243	16650	4	24.7516568500176	0.291376515661925	10	0.0394968742938917	5975500	5595500	0.0440778957763216	5816250	5716250	96
20211130 172349	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	413.7	222	TRUE	31	0.179946928963279	0.105037814855529	3518	22	40.9393780411035	0.355398240376378	10	0.0400667821546032	6500375	5730375	0.0419187734846393	6638750	5688750	97
20211130 173149	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	140.8	237	TRUE	32	0.107254306064919	0.983202701857383	127	537	74.3298202017695	0.317482209087068	10	0.0362740913693689	6666875	5501875	0.0344120576100692	6760000	6010000	98
20211130 174409	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	115.7	224	TRUE	31	0.164943989200187	0.942188176384894	98	1854	76.8664100729674	0.847135692115454	10	0.0381695998928808	6488750	5373750	0.0370984074380926	6658750	5558750	99
20211130 180041	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	919.9	391	TRUE	32	0.0208849180707773	0.861346521343092	758	144	56.4188834787766	0.510532464732744	10	0.0327835103311491	6903250	6308250	0.0330228548952658	6917500	6267500	100
20211130 182047	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	773.7	398	TRUE	32	0.0201329292180912	0.978993323036184	484	273	60.9248514831276	0.614014968546437	10	0.0325491869816642	6748250	6178250	0.0306963587825228	6615000	6165000	101
20211130 182639	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	133	220	TRUE	31	0.191583613552875	0.472017074278672	546	352	59.7101075609587	0.895236163153125	10	0.0354330379185392	6602500	5362500	0.0371067761291456	6807500	5657500	102
20211130 183236	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	319	247	TRUE	32	0.0836055687808013	0.195853237974038	211	192	69.2549670973793	0.188446165217899	10	0.0382809034838861	6747125	5967125	0.0419522482488514	6933750	6233750	103
20211130 183820	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	413.9	255	TRUE	32	0.0722454865975585	0.73457422515417	630	74	58.2780015864968	0.216544272164085	10	0.0351334387788406	6877250	6117250	0.0375670541370624	6888750	6288750	104
20211130 184347	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	354.1	220	TRUE	32	0.190523669691659	0.527964504633867	2278	22	45.3444140683301	0.235216026134179	10	0.0364180328554811	6690375	5850375	0.0372490438770472	6836250	5986250	105
20211130 190530	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	237.4	248	TRUE	31	0.0823731073194882	0.581680293460237	34	3219	87.4420722096227	0.510112806113637	10	0.0386030980894278	6504000	5494000	0.0400107119245479	6573750	5523750	106
